,Vcc,airspeed,alt,alt_error,altgps,armed,climb,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
621933,,,,,,,,,,,,,,,,,,-0.0006659571081399918,-0.0015453980304300785,,,,,,,,,,,0.013006985187530518,-0.007178172469139099,,,,,,,,,,,,,,,,1.2309871912002563,0.015878479927778244,,,,,
621933,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621933,,0.0,0.0,,,,-0.003193122800439596,,,0.5635549426078796,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
621935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
622333,,,,,,,,,,,,,,,,,,-0.0007062195800244808,-0.0014008667785674334,,,,,,,,,,,0.012553203850984573,0.003373832441866398,,,,,,,,,,,,,,,,1.2325129508972168,-0.0019379481673240662,,,,,
622333,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622333,,0.0,0.0,,,,-0.0017735990695655346,,,0.5701743364334106,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
622335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1492,1492,1508,1450,1450,1450,1450,,,,,,,,,,,,,,
622733,,,,,,,,,,,,,,,,,,-0.0011930828914046288,-0.0016252121422439814,,,,,,,,,,,0.012908097356557846,-0.0009725831914693117,,,,,,,,,,,,,,,,1.2285511493682861,-0.011305960826575756,,,,,
622733,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622733,,0.0,0.0,,,,-0.0027494048699736595,,,0.5749439001083374,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
